National Dex Number,Pokemon Name,Pokemon Pic URL,Pokemon Types,Abilities,"Base Stats (HP, Atk, Def, SpA, SpD, Speed)"
#0538,Throh,https://www.serebii.net/pokedex-sv/icon/new/538.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Guts', 'Inner Focus', 'Mold Breaker']","['120', '100', '85', '30', '85', '45']"
#0539,Sawk,https://www.serebii.net/pokedex-sv/icon/new/539.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Sturdy', 'Inner Focus', 'Mold Breaker']","['75', '125', '75', '30', '75', '85']"
#0540,Sewaddle,https://www.serebii.net/pokedex-sv/icon/new/540.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Swarm', 'Chlorophyll', 'Overcoat']","['45', '53', '70', '40', '60', '42']"
#0541,Swadloon,https://www.serebii.net/pokedex-sv/icon/new/541.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Leaf Guard', 'Chlorophyll', 'Overcoat']","['55', '63', '90', '50', '80', '42']"
#0542,Leavanny,https://www.serebii.net/pokedex-sv/icon/new/542.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Swarm', 'Chlorophyll', 'Overcoat']","['75', '103', '80', '70', '80', '92']"
#0543,Venipede,https://www.serebii.net/pokedex-sv/icon/new/543.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Poison Point', 'Swarm', 'Speed Boost']","['30', '45', '59', '30', '39', '57']"
#0544,Whirlipede,https://www.serebii.net/pokedex-sv/icon/new/544.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Poison Point', 'Swarm', 'Speed Boost']","['40', '55', '99', '40', '79', '47']"
#0545,Scolipede,https://www.serebii.net/pokedex-sv/icon/new/545.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Poison Point', 'Swarm', 'Speed Boost']","['60', '100', '89', '55', '69', '112']"
#0546,Cottonee,https://www.serebii.net/pokedex-sv/icon/new/546.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Prankster', 'Infiltrator', 'Chlorophyll']","['40', '27', '60', '37', '50', '66']"
#0547,Whimsicott,https://www.serebii.net/pokedex-sv/icon/new/547.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Prankster', 'Infiltrator', 'Chlorophyll']","['60', '67', '85', '77', '75', '116']"
#0548,Petilil,https://www.serebii.net/pokedex-sv/icon/new/548.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Chlorophyll', 'Own Tempo', 'Leaf Guard']","['45', '35', '50', '70', '50', '30']"
#0549,Lilligant,https://www.serebii.net/pokedex-sv/icon/new/549.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Chlorophyll', 'Own Tempo', 'Leaf Guard']","['70', '60', '75', '110', '75', '90']"
#0550,Basculin,https://www.serebii.net/pokedex-sv/icon/new/550.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Reckless', 'Adaptability', 'Mold Breaker']","['70', '92', '65', '80', '55', '98']"
#0551,Sandile,https://www.serebii.net/pokedex-sv/icon/new/551.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Intimidate', 'Moxie', 'Anger Point']","['50', '72', '35', '35', '35', '65']"
#0552,Krokorok,https://www.serebii.net/pokedex-sv/icon/new/552.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Intimidate', 'Moxie', 'Anger Point']","['60', '82', '45', '45', '45', '74']"
#0553,Krookodile,https://www.serebii.net/pokedex-sv/icon/new/553.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/dark.gif']","['Intimidate', 'Moxie', 'Anger Point']","['95', '117', '80', '65', '70', '92']"
#0554,Darumaka,https://www.serebii.net/pokedex-sv/icon/new/554.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Hustle', 'Inner Focus']","['70', '90', '45', '15', '45', '50']"
#0555,Darmanitan,https://www.serebii.net/pokedex-sv/icon/new/555.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Sheer Force', 'Zen Mode']","['105', '140', '55', '30', '55', '95']"
#0556,Maractus,https://www.serebii.net/pokedex-sv/icon/new/556.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Water Absorb', 'Chlorophyll', 'Storm Drain']","['75', '86', '67', '106', '67', '60']"
#0557,Dwebble,https://www.serebii.net/pokedex-sv/icon/new/557.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Sturdy', 'Shell Armor', 'Weak Armor']","['50', '65', '85', '35', '35', '55']"
#0558,Crustle,https://www.serebii.net/pokedex-sv/icon/new/558.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Sturdy', 'Shell Armor', 'Weak Armor']","['70', '105', '125', '65', '75', '45']"
#0559,Scraggy,https://www.serebii.net/pokedex-sv/icon/new/559.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Shed Skin', 'Moxie', 'Intimidate']","['50', '75', '70', '35', '70', '48']"
#0560,Scrafty,https://www.serebii.net/pokedex-sv/icon/new/560.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Shed Skin', 'Moxie', 'Intimidate']","['65', '90', '115', '45', '115', '58']"
#0561,Sigilyph,https://www.serebii.net/pokedex-sv/icon/new/561.png,"['https://www.serebii.net/pokedex-bw/type/psychic.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Wonder Skin', 'Magic Guard', 'Tinted Lens']","['72', '58', '80', '103', '80', '97']"
#0562,Yamask,https://www.serebii.net/pokedex-sv/icon/new/562.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],['Mummy'],"['38', '30', '85', '55', '65', '30']"
#0563,Cofagrigus,https://www.serebii.net/pokedex-sv/icon/new/563.png,['https://www.serebii.net/pokedex-bw/type/ghost.gif'],['Mummy'],"['58', '50', '145', '95', '105', '30']"
#0564,Tirtouga,https://www.serebii.net/pokedex-sv/icon/new/564.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Solid Rock', 'Sturdy', 'Swift Swim']","['54', '78', '103', '53', '45', '22']"
#0565,Carracosta,https://www.serebii.net/pokedex-sv/icon/new/565.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Solid Rock', 'Sturdy', 'Swift Swim']","['74', '108', '133', '83', '65', '32']"
#0566,Archen,https://www.serebii.net/pokedex-sv/icon/new/566.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']",['Defeatist'],"['55', '112', '45', '74', '45', '70']"
#0567,Archeops,https://www.serebii.net/pokedex-sv/icon/new/567.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']",['Defeatist'],"['75', '140', '65', '112', '65', '110']"
#0568,Trubbish,https://www.serebii.net/pokedex-sv/icon/new/568.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Stench', 'Sticky Hold', 'Aftermath']","['50', '50', '62', '40', '62', '65']"
#0569,Garbodor,https://www.serebii.net/pokedex-sv/icon/new/569.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Stench', 'Weak Armor', 'Aftermath']","['80', '95', '82', '60', '82', '75']"
#0570,Zorua,https://www.serebii.net/pokedex-sv/icon/new/570.png,['https://www.serebii.net/pokedex-bw/type/dark.gif'],['Illusion'],"['40', '65', '40', '80', '40', '65']"
#0571,Zoroark,https://www.serebii.net/pokedex-sv/icon/new/571.png,['https://www.serebii.net/pokedex-bw/type/dark.gif'],['Illusion'],"['60', '105', '60', '120', '60', '105']"
#0572,Minccino,https://www.serebii.net/pokedex-sv/icon/new/572.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Cute Charm', 'Technician', 'Skill Link']","['55', '50', '40', '40', '40', '75']"
#0573,Cinccino,https://www.serebii.net/pokedex-sv/icon/new/573.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Cute Charm', 'Technician', 'Skill Link']","['75', '95', '60', '65', '60', '115']"
#0574,Gothita,https://www.serebii.net/pokedex-sv/icon/new/574.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Frisk', 'Competitive', 'Shadow Tag']","['45', '30', '50', '55', '65', '45']"
#0575,Gothorita,https://www.serebii.net/pokedex-sv/icon/new/575.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Frisk', 'Competitive', 'Shadow Tag']","['60', '45', '70', '75', '85', '55']"
#0576,Gothitelle,https://www.serebii.net/pokedex-sv/icon/new/576.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Frisk', 'Competitive', 'Shadow Tag']","['70', '55', '95', '95', '110', '65']"
#0577,Solosis,https://www.serebii.net/pokedex-sv/icon/new/577.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Overcoat', 'Magic Guard', 'Regenerator']","['45', '30', '40', '105', '50', '20']"
#0578,Duosion,https://www.serebii.net/pokedex-sv/icon/new/578.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Overcoat', 'Magic Guard', 'Regenerator']","['65', '40', '50', '125', '60', '30']"
#0579,Reuniclus,https://www.serebii.net/pokedex-sv/icon/new/579.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Overcoat', 'Magic Guard', 'Regenerator']","['110', '65', '75', '125', '85', '30']"
#0580,Ducklett,https://www.serebii.net/pokedex-sv/icon/new/580.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Big Pecks', 'Hydration']","['62', '44', '50', '44', '50', '55']"
#0581,Swanna,https://www.serebii.net/pokedex-sv/icon/new/581.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Big Pecks', 'Hydration']","['75', '87', '63', '87', '63', '98']"
#0582,Vanillite,https://www.serebii.net/pokedex-sv/icon/new/582.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],"['Ice Body', 'Snow Cloak', 'Weak Armor']","['36', '50', '50', '65', '60', '44']"
#0583,Vanillish,https://www.serebii.net/pokedex-sv/icon/new/583.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],"['Ice Body', 'Snow Cloak', 'Weak Armor']","['51', '65', '65', '80', '75', '59']"
#0584,Vanilluxe,https://www.serebii.net/pokedex-sv/icon/new/584.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],"['Ice Body', 'Snow Warning', 'Weak Armor']","['71', '95', '85', '110', '95', '79']"
#0585,Deerling,https://www.serebii.net/pokedex-sv/icon/new/585.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Chlorophyll', 'Sap Sipper', 'Serene Grace']","['60', '60', '50', '40', '50', '75']"
#0586,Sawsbuck,https://www.serebii.net/pokedex-sv/icon/new/586.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Chlorophyll', 'Sap Sipper', 'Serene Grace']","['80', '100', '70', '60', '70', '95']"
#0587,Emolga,https://www.serebii.net/pokedex-sv/icon/new/587.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Static', 'Motor Drive']","['55', '75', '60', '75', '60', '103']"
#0588,Karrablast,https://www.serebii.net/pokedex-sv/icon/new/588.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Swarm', 'Shed Skin', 'No Guard']","['50', '75', '45', '40', '45', '60']"
#0589,Escavalier,https://www.serebii.net/pokedex-sv/icon/new/589.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']","['Swarm', 'Shell Armor', 'Overcoat']","['70', '135', '105', '60', '105', '20']"
#0590,Foongus,https://www.serebii.net/pokedex-sv/icon/new/590.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Effect Spore', 'Regenerator']","['69', '55', '45', '55', '55', '15']"
#0591,Amoonguss,https://www.serebii.net/pokedex-sv/icon/new/591.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Effect Spore', 'Regenerator']","['114', '85', '70', '85', '80', '30']"
#0592,Frillish,https://www.serebii.net/pokedex-sv/icon/new/592.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Water Absorb', 'Cursed Body', 'Damp']","['55', '40', '50', '65', '85', '40']"
#0593,Jellicent,https://www.serebii.net/pokedex-sv/icon/new/593.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Water Absorb', 'Cursed Body', 'Damp']","['100', '60', '70', '85', '105', '60']"
#0594,Alomomola,https://www.serebii.net/pokedex-sv/icon/new/594.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Healer', 'Hydration', 'Regenerator']","['165', '75', '80', '40', '45', '65']"
#0595,Joltik,https://www.serebii.net/pokedex-sv/icon/new/595.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/electric.gif']","['Compoundeyes', 'Unnerve', 'Swarm']","['50', '47', '50', '57', '50', '65']"
#0596,Galvantula,https://www.serebii.net/pokedex-sv/icon/new/596.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/electric.gif']","['Compoundeyes', 'Unnerve', 'Swarm']","['70', '77', '60', '97', '60', '108']"
#0597,Ferroseed,https://www.serebii.net/pokedex-sv/icon/new/597.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']",['Iron Barbs'],"['44', '50', '91', '24', '86', '10']"
#0598,Ferrothorn,https://www.serebii.net/pokedex-sv/icon/new/598.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']","['Iron Barbs', 'Anticipation']","['74', '94', '131', '54', '116', '20']"
#0599,Klink,https://www.serebii.net/pokedex-sv/icon/new/599.png,['https://www.serebii.net/pokedex-bw/type/steel.gif'],"['Plus', 'Minus', 'Clear Body']","['40', '55', '70', '45', '60', '30']"
#0600,Klang,https://www.serebii.net/pokedex-sv/icon/new/600.png,['https://www.serebii.net/pokedex-bw/type/steel.gif'],"['Plus', 'Minus', 'Clear Body']","['60', '80', '95', '70', '85', '50']"
#0601,Klinklang,https://www.serebii.net/pokedex-sv/icon/new/601.png,['https://www.serebii.net/pokedex-bw/type/steel.gif'],"['Plus', 'Minus', 'Clear Body']","['60', '100', '115', '70', '85', '90']"
#0602,Tynamo,https://www.serebii.net/pokedex-sv/icon/new/602.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],['Levitate'],"['35', '55', '40', '45', '40', '60']"
#0603,Eelektrik,https://www.serebii.net/pokedex-sv/icon/new/603.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],['Levitate'],"['65', '85', '70', '75', '70', '40']"
#0604,Eelektross,https://www.serebii.net/pokedex-sv/icon/new/604.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],['Levitate'],"['85', '115', '80', '105', '80', '50']"
#0605,Elgyem,https://www.serebii.net/pokedex-sv/icon/new/605.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Telepathy', 'Synchronize', 'Analytic']","['55', '55', '55', '85', '55', '30']"
#0606,Beheeyem,https://www.serebii.net/pokedex-sv/icon/new/606.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Telepathy', 'Synchronize', 'Analytic']","['75', '75', '75', '125', '95', '40']"
#0607,Litwick,https://www.serebii.net/pokedex-sv/icon/new/607.png,"['https://www.serebii.net/pokedex-bw/type/ghost.gif', 'https://www.serebii.net/pokedex-bw/type/fire.gif']","['Flash Fire', 'Flame Body', 'Infiltrator']","['50', '30', '55', '65', '55', '20']"
#0608,Lampent,https://www.serebii.net/pokedex-sv/icon/new/608.png,"['https://www.serebii.net/pokedex-bw/type/ghost.gif', 'https://www.serebii.net/pokedex-bw/type/fire.gif']","['Flash Fire', 'Flame Body', 'Infiltrator']","['60', '40', '60', '95', '60', '55']"
#0609,Chandelure,https://www.serebii.net/pokedex-sv/icon/new/609.png,"['https://www.serebii.net/pokedex-bw/type/ghost.gif', 'https://www.serebii.net/pokedex-bw/type/fire.gif']","['Flash Fire', 'Flame Body', 'Infiltrator']","['60', '55', '90', '145', '90', '80']"
#0610,Axew,https://www.serebii.net/pokedex-sv/icon/new/610.png,['https://www.serebii.net/pokedex-bw/type/dragon.gif'],"['Rivalry', 'Mold Breaker', 'Unnerve']","['46', '87', '60', '30', '40', '57']"
#0611,Fraxure,https://www.serebii.net/pokedex-sv/icon/new/611.png,['https://www.serebii.net/pokedex-bw/type/dragon.gif'],"['Rivalry', 'Mold Breaker', 'Unnerve']","['66', '117', '70', '40', '50', '67']"
#0612,Haxorus,https://www.serebii.net/pokedex-sv/icon/new/612.png,['https://www.serebii.net/pokedex-bw/type/dragon.gif'],"['Rivalry', 'Mold Breaker', 'Unnerve']","['76', '147', '90', '60', '70', '97']"
#0613,Cubchoo,https://www.serebii.net/pokedex-sv/icon/new/613.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],"['Snow Cloak', 'Slush Rush', 'Rattled']","['55', '70', '40', '60', '40', '40']"
#0614,Beartic,https://www.serebii.net/pokedex-sv/icon/new/614.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],"['Snow Cloak', 'Slush Rush', 'Swift Swim']","['95', '130', '80', '70', '80', '50']"
#0615,Cryogonal,https://www.serebii.net/pokedex-sv/icon/new/615.png,['https://www.serebii.net/pokedex-bw/type/ice.gif'],['Levitate'],"['80', '50', '50', '95', '135', '105']"
#0616,Shelmet,https://www.serebii.net/pokedex-sv/icon/new/616.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Hydration', 'Shell Armor', 'Overcoat']","['50', '40', '85', '40', '65', '25']"
#0617,Accelgor,https://www.serebii.net/pokedex-sv/icon/new/617.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Hydration', 'Sticky Hold', 'Unburden']","['80', '70', '40', '100', '60', '145']"
#0618,Stunfisk,https://www.serebii.net/pokedex-sv/icon/new/618.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/electric.gif']","['Static', 'Limber', 'Sand Veil']","['109', '66', '84', '81', '99', '32']"
#0619,Mienfoo,https://www.serebii.net/pokedex-sv/icon/new/619.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Inner Focus', 'Regenerator', 'Reckless']","['45', '85', '50', '55', '50', '65']"
#0620,Mienshao,https://www.serebii.net/pokedex-sv/icon/new/620.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Inner Focus', 'Regenerator', 'Reckless']","['65', '125', '60', '95', '60', '105']"
#0621,Druddigon,https://www.serebii.net/pokedex-sv/icon/new/621.png,['https://www.serebii.net/pokedex-bw/type/dragon.gif'],"['Rough Skin', 'Sheer Force', 'Mold Breaker']","['77', '120', '90', '60', '90', '48']"
#0622,Golett,https://www.serebii.net/pokedex-sv/icon/new/622.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Iron Fist', 'Klutz', 'No Guard']","['59', '74', '50', '35', '50', '35']"
#0623,Golurk,https://www.serebii.net/pokedex-sv/icon/new/623.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/ghost.gif']","['Iron Fist', 'Klutz', 'No Guard']","['89', '124', '80', '55', '80', '55']"
#0624,Pawniard,https://www.serebii.net/pokedex-sv/icon/new/624.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']","['Defiant', 'Inner Focus', 'Pressure']","['45', '85', '70', '40', '40', '60']"
#0625,Bisharp,https://www.serebii.net/pokedex-sv/icon/new/625.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']","['Defiant', 'Inner Focus', 'Pressure']","['65', '125', '100', '60', '70', '70']"
#0626,Bouffalant,https://www.serebii.net/pokedex-sv/icon/new/626.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Reckless', 'Sap Sipper', 'Soundproof']","['95', '110', '95', '40', '95', '55']"
#0627,Rufflet,https://www.serebii.net/pokedex-sv/icon/new/627.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Sheer Force', 'Hustle']","['70', '83', '50', '37', '50', '60']"
#0628,Braviary,https://www.serebii.net/pokedex-sv/icon/new/628.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Sheer Force', 'Defiant']","['100', '123', '75', '57', '75', '80']"
#0629,Vullaby,https://www.serebii.net/pokedex-sv/icon/new/629.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Big Pecks', 'Overcoat', 'Weak Armor']","['70', '55', '75', '45', '65', '60']"
#0630,Mandibuzz,https://www.serebii.net/pokedex-sv/icon/new/630.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Big Pecks', 'Overcoat', 'Weak Armor']","['110', '65', '105', '55', '95', '80']"
#0631,Heatmor,https://www.serebii.net/pokedex-sv/icon/new/631.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Gluttony', 'Flash Fire', 'White Smoke']","['85', '97', '66', '105', '66', '65']"
#0632,Durant,https://www.serebii.net/pokedex-sv/icon/new/632.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']","['Swarm', 'Hustle', 'Truant']","['58', '109', '112', '48', '48', '109']"
#0633,Deino,https://www.serebii.net/pokedex-sv/icon/new/633.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']",['Hustle'],"['52', '65', '50', '45', '50', '38']"
#0634,Zweilous,https://www.serebii.net/pokedex-sv/icon/new/634.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']",['Hustle'],"['72', '85', '70', '65', '70', '58']"
#0635,Hydreigon,https://www.serebii.net/pokedex-sv/icon/new/635.png,"['https://www.serebii.net/pokedex-bw/type/dark.gif', 'https://www.serebii.net/pokedex-bw/type/dragon.gif']",['Levitate'],"['92', '105', '90', '125', '90', '98']"
#0636,Larvesta,https://www.serebii.net/pokedex-sv/icon/new/636.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/fire.gif']","['Flame Body', 'Swarm']","['55', '85', '55', '50', '55', '60']"
#0637,Volcarona,https://www.serebii.net/pokedex-sv/icon/new/637.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/fire.gif']","['Flame Body', 'Swarm']","['85', '60', '65', '135', '105', '100']"
#0638,Cobalion,https://www.serebii.net/pokedex-sv/icon/new/638.png,"['https://www.serebii.net/pokedex-bw/type/steel.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']",['Justified'],"['91', '90', '129', '90', '72', '108']"
#0639,Terrakion,https://www.serebii.net/pokedex-sv/icon/new/639.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']",['Justified'],"['91', '129', '90', '72', '90', '108']"
#0640,Virizion,https://www.serebii.net/pokedex-sv/icon/new/640.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']",['Justified'],"['91', '90', '72', '90', '129', '108']"
#0641,Tornadus,https://www.serebii.net/pokedex-sv/icon/new/641.png,['https://www.serebii.net/pokedex-bw/type/flying.gif'],"['Prankster', 'Defiant']","['79', '115', '70', '125', '80', '111']"
#0642,Thundurus,https://www.serebii.net/pokedex-sv/icon/new/642.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Prankster', 'Defiant']","['79', '115', '70', '125', '80', '111']"
#0643,Reshiram,https://www.serebii.net/pokedex-sv/icon/new/643.png,"['https://www.serebii.net/pokedex-bw/type/dragon.gif', 'https://www.serebii.net/pokedex-bw/type/fire.gif']",['Turboblaze'],"['100', '120', '100', '150', '120', '90']"
#0644,Zekrom,https://www.serebii.net/pokedex-sv/icon/new/644.png,"['https://www.serebii.net/pokedex-bw/type/dragon.gif', 'https://www.serebii.net/pokedex-bw/type/electric.gif']",['Teravolt'],"['100', '150', '120', '120', '100', '90']"
#0645,Landorus,https://www.serebii.net/pokedex-sv/icon/new/645.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Sand Force', 'Sheer Force']","['89', '125', '90', '115', '80', '101']"
#0646,Kyurem,https://www.serebii.net/pokedex-sv/icon/new/646.png,"['https://www.serebii.net/pokedex-bw/type/dragon.gif', 'https://www.serebii.net/pokedex-bw/type/ice.gif']",['Pressure'],"['125', '130', '90', '130', '90', '95']"
#0647,Keldeo,https://www.serebii.net/pokedex-sv/icon/new/647.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']",['Justified'],"['91', '72', '90', '129', '90', '108']"
#0648,Meloetta,https://www.serebii.net/pokedex-sv/icon/new/648.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']",['Serene Grace'],"['100', '77', '77', '128', '128', '90']"
#0649,Genesect,https://www.serebii.net/pokedex-sv/icon/new/649.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']",['Download'],"['71', '120', '95', '120', '95', '99']"
#0650,Chespin,https://www.serebii.net/pokedex-sv/icon/new/650.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Overgrow', 'Bulletproof']","['56', '61', '65', '48', '45', '38']"
#0651,Quilladin,https://www.serebii.net/pokedex-sv/icon/new/651.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Overgrow', 'Bulletproof']","['61', '78', '95', '56', '58', '57']"
